D2_1B,,,,,,,,,,,,,,,,,
Purξ,Penalty -5,380,,,,,,,,,,,,,,,
Ac,Penalty 0,347,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,N64 Bowser's Castle,Wii Maple Treeway,Wii Wario's Gold Mine,N64 Sherbet Land,Wii Moonview Highway,Wii Grumble Volcano,GBA Bowser Castle 3,Wii Koopa Cape,GCN Waluigi Stadium,DS Peach Gardens,DS Delfino Square,Wii Dry Dry Ruins
ayanami,4343-9214-5479,mii_name,Purξ,110,FALSE,3,6,3,4,2,2,2,4,2,4,3,6
Maxx,4472-7680-2998,mii_name,Purξ,97,FALSE,4,2,2,3,1,3,4,8,5,7,7,4
saky,3699-6752-0444,mii_name,Purξ,90,FALSE,1,4,7,1,3,5,7,6,4,2,6,8
Goober,4129-1712-2643,ALEX,Purξ,79,FALSE,7,5,10,6,5,6,6,1,1,1,8,7
mephisto,2582-9914-6578,mii_name,Purξ,9,FALSE,9,9,8,9,9,10,9,9,9,9,9,10
Thunda,1294-5024-0059,mii_name,Ac,104,FALSE,2,1,5,7,4,4,3,3,3,6,2,5
appleeater12,3656-7287-2466,Kara,Ac,99,FALSE,5,7,4,2,6,1,8,2,8,3,1,3
Stubbz,0134-8552-1611,mii_name,Ac,72,FALSE,8,8,1,8,7,7,1,7,6,8,5,1
zilla,2926-5841-3809,mii_name,Ac,69,FALSE,6,3,6,5,8,8,5,5,7,5,4,2
sully,4988-1714-4851,mii_name,Ac,3,FALSE,10,10,9,10,10,9,10,10,10,10,10,9
,,,,,,,,,,,,,,,,,
https://www.twitch.tv/videos/1728673883,,,,,,,,,,,,,,,,,
