D3_1C,,,,,,,,,,,,,,,,,
«♪»,Penalty -5,391,,,,,,,,,,,,,,,
MY13,Penalty 0,336,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,N64 Bowser's Castle,GBA Bowser Castle 3,DS Peach Gardens,Wii Moonview Highway,N64 Sherbet Land,Wii Grumble Volcano,Wii Maple Treeway,Wii Toad's Factory,Wii Dry Dry Ruins,Wii Koopa Cape,Wii DK Summit,GCN Waluigi Stadium
Kenny,2625-9474-0824,Melody Kenny,«♪»,122,FALSE,2,5,2,2,4,1,1,5,2,2,3,8
Salvatore,1337-4417-2223,Melody sal,«♪»,108,FALSE,8,1,1,1,1,6,4,2,5,7,7,3
Razz,4427-1674-1917 ,Melody Razz,«♪»,83,FALSE,1,4,7,5,7,3,6,7,8,4,1,5
Charge,2967-5103-3075,Melody charge,«♪»,79,FALSE,5,3,6,7,3,5,5,4,3,8,8,2
Solem,5117-0169-9931,Melody Solem,«♪»,4,FALSE,10,9,9,10,10,10,10,10,9,10,9,10
Cormac,0950-9113-2347,MY13 crma,MY13,96,FALSE,3,2,5,8,2,2,8,3,7,5,5,1
Jake,3785-5889-1361,MY13 Jake,MY13,90,FALSE,6,6,3,4,5,7,7,1,1,3,6,4
Kira,4129-1714-8812,MY13 Kira,MY13,71,FALSE,4,7,8,6,6,4,2,8,4,6,2,6
Azn,4258-0345-0951,MY13 Azn,MY13,71,FALSE,7,8,4,3,8,8,3,6,6,1,4,7
Dragonfly99,2540-0360-8159,MY13 Dfly,MY13,8,FALSE,9,10,10,9,9,9,9,9,10,9,10,9
,,,,,,,,,,,,,,,,,
OVERWRITE EVERY VALUE ABOVE,,,,,,,,,,,,,,,,,
title str = Division_WeekLetter,,i.e The match in the first row of week 1 for division 3 would be D3_1A,,,,,,,,,,,,,,,
table_penalty_str = Penalty -#,,i.e The value for a -5 pen on the team will be Penalty -5,,,,,,,,,,,,,,,
Player names are names on table,,,,,,,,,,,,,,,,,
"Feel free to leave mii names alone, it's just an argument that needs to be filled out",,,,,,,,,,,,,,,,,
Tags will always be the team name on table,,,,,,,,,,,,,,,,,
subbet_out is a boolean (True or False),,,,,,,,,,,,,,,,,
Track names are the Official Names,,"i.e MT is Wii Maple Treeway, rBC is N64 Bowser's Castle",,,,,,,,,,,,,,,
