D4_2D,,,,,,,,,,,,,,,,,
HK,Penalty 0,382,,,,,,,,,,,,,,,
RS,Penalty 0,350,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Wii Dry Dry Ruins,GBA Bowser Castle 3,Wii Maple Treeway,DS Peach Gardens,N64 Sherbet Land,DS Delfino Square,Wii Wario's Gold Mine,GCN DK Mountain,Wii Koopa Cape,GCN Peach Beach,Wii Grumble Volcano,GCN Mario Circuit
Bowser Castle 3,0865-0103-7457,mii_name,HK,113,FALSE,3,5,2,6,2,3,3,2,1,1,7,6
xWill,1809-9008-2591,mii_name,HK,104,FALSE,6,3,3,5,1,5,1,1,4,6,4,7
Schwoz,1595-1567-5212,mii_name,HK,83,FALSE,8,1,1,7,7,7,5,6,5,2,6,3
Fizzy,3227-2407-3178,mii_name,HK,73,FALSE,2,4,8,1,8,6,4,7,7,4,5,8
Jayde,1251-5556-0095,mii_name,HK,9,FALSE,9,9,9,10,9,9,10,9,10,9,9,9
stripe,3785-5722-6245,mii_name,RS,107,FALSE,4,7,5,2,6,1,6,3,2,3,1,4
Klover,1981-6869-4068,mii_name,RS,93,FALSE,1,2,7,8,5,2,2,8,8,7,2,2
skylar,1809-8941-9251,mii_name,RS,80,FALSE,7,8,4,4,3,4,7,5,3,5,3,5
Caleb,3313-1359-5191,mii_name,RS,67,FALSE,5,6,6,3,4,8,8,4,6,8,8,1
zia,1165-6422-7339,mii_name,RS,3,FALSE,10,10,10,9,10,10,9,10,9,10,10,10
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OVERWRITE EVERY VALUE ABOVE,,,,,,,,,,,,,,,,,
Team 1/2,Use team name on table bot (technically the tag),,,,,,,,,,,,,,,,
title str = Division_WeekLetter,,i.e The match in the first row of week 1 for division 3 would be D3_1A,,,,,,,,,,,,,,,
table_penalty_str = Penalty -#,,i.e The value for a -5 pen on the team will be Penalty -5,,,,,,,,,,,,,,,
Player names are names on table,,,,,,,,,,,,,,,,,
"Feel free to leave mii names alone, it's just an argument that needs to be filled out",,,,,,,,,,,,,,,,,
Tags will always be the team name on table,,,,,,,,,,,,,,,,,
subbet_out is a boolean (True or False),,,,,,,,,,,,,,,,,
Track names are the Official Names,,"i.e MT is Wii Maple Treeway, rBC is N64 Bowser's Castle",,,,,,,,,,,,,,,
