D5_2C,,,,,,,,,,,,,,,,,
TNG,Penalty 0,371,,,,,,,,,,,,,,,
βτ,Penalty 0,361,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Wii Dry Dry Ruins,Wii Bowser's Castle,Wii Maple Treeway,DS Peach Gardens,Wii DK Summit,GCN Waluigi Stadium,SNES Mario Circuit 3,N64 Sherbet Land,GBA Bowser Castle 3,Wii Grumble Volcano,GCN DK Mountain ,GCN Mario Circuit
Chaos,0521-3992-9431,mii_name,TNG,125,FALSE,5,3,3,2,3,3,2,2,1,2,6,2
brisk,2582-9833-7578,mii_name,TNG,94,FALSE,8,6,2,3,4,2,4,6,3,5,2,5
Randal Grichuk,1981-6940-3802,PapaF,TNG,82,FALSE,4,1,1,8,8,4,8,8,4,4,3,8
Dino,2840-6821-3506,cammy,TNG,65,FALSE,6,4,7,5,7,8,3,5,2,8,5,7
andreese,4043-2730-8729,mii_name,TNG,5,FALSE,10,10,10,9,9,10,10,10,9,9,9,9
Hedwig,1380-4069-1504,mii_name,βτ,138,FALSE,1,2,4,1,5,1,1,3,6,3,1,1
Claus,5374-7240-2317,LaBerto,βτ,94,FALSE,3,7,6,4,1,7,5,1,7,1,8,3
alx,2325-2967-2631,mii_name,βτ,69,FALSE,2,5,8,7,2,5,6,4,8,7,7,4
Sassak,2797-7368-5957,Aelin,βτ,53,FALSE,7,8,4,6,6,6,7,7,5,6,4,6
Schultz,2668-8838-4097,mii_name,βτ,7,FALSE,9,9,9,10,10,9,9,9,10,10,10,10
