D6_1B,,,,,,,,,,,,,,,,,
λυ,Penalty 0,416,,,,,,,,,,,,,,,
mono,Penalty 0,316,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,N64 Sherbet Land,DS Peach Gardens,DS Delfino Square,Wii Grumble Volcano,GBA Bowser's Castle 3,Wii Mushroom Gorge,GCN Mario Circuit,Wii Bowser's Castle,Wii Dry Dry Ruins,GCN Waluigi Stadium,N64 Bowser's Castle,Wii Wario's Gold Mine
Fernandez,2840-6958-4621,Fernndz,λυ,125,subbed_out,3,4,1,1,3,8,1,5,4,5,1,1
FrankDaSpeed,4730-4742-4883,Frank,λυ,111,subbed_out,2,3,2,6,2,4,6,3,1,4,5,3
Silverr,0435-5083-0524,Silver,λυ,105,subbed_out,1,7,5,3,1,1,2,1,6,6,8,6
Goomba,4086-2294-0214,Goomba,λυ,68,subbed_out,8,8,6,7,4,3,7,8,7,1,6,2
Star,0607-3145-0996,Star,λυ,7,subbed_out,9,10,10,10,9,9,9,9,10,9,10,9
Bboy02,3656-7286-4071,Bby02,mono,84,subbed_out,4,6,4,4,6,5,3,7,2,7,3,4
Snowy,4601-6298-4262,Snowy,mono,77,subbed_out,6,5,8,5,5,6,5,4,3,3,2,7
landon,1380-4070-3232,ln,mono,76,subbed_out,7,1,3,2,7,7,4,6,8,8,4,5
Falco,1723-9966-8674,falco,mono,74,subbed_out,5,2,7,8,8,2,8,2,5,2,7,8
Saga,0478-4577-5077,maddy,mono,5,subbed_out,10,9,9,9,10,10,10,10,9,10,9,10
,,,,,,,,,,,,,,,,,
OVERWRITE EVERY VALUE ABOVE,,,,,,,,,,,,,,,,,
title str = Division_WeekLetter,,i.e The match in the first row of week 1 for division 3 would be D3_1A,,,,,,,,,,,,,,,
table_penalty_str = Penalty -#,,i.e The value for a -5 pen on the team will be Penalty -5,,,,,,,,,,,,,,,
Player names are names on table,,,,,,,,,,,,,,,,,
"Feel free to leave mii names alone, it's just an argument that needs to be filled out",,,,,,,,,,,,,,,,,
Tags will always be the team name on table,,,,,,,,,,,,,,,,,
subbet_out is a boolean (True or False),,,,,,,,,,,,,,,,,
Track names are the Official Names,,"i.e MT is Wii Maple Treeway, rBC is N64 Bowser's Castle",,,,,,,,,,,,,,,
