D7_2C,,,,,,,,,,,,,,,,,
Cγ,Penalty 0,382,,,,,,,,,,,,,,,
XIV,Penalty 0,350,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,N64 Sherbet Land,SNES Mario Circuit 3,GCN Waluigi Stadium,Wii Wario's Gold Mine,N64 Bowser's Castle,Wii Maple Treeway,Wii Bowser's Castle,GBA Bowser Castle 3,Wii Koopa Cape,Wii Dry Dry Ruins,Wii Grumble Volcano,GCN Peach Beach
Wob,3399-0251-1271,mii_name,Cγ,103,FALSE,7,4,7,1,1,8,1,2,4,5,2,6
Perisov,4172-1313-4645,mii_name,Cγ,95,FALSE,8,1,6,8,3,1,4,3,2,4,5,7
Jesse,5031-1239-4725,mii_name,Cγ,92,FALSE,1,3,4,7,4,3,7,1,8,8,4,4
Rin,2153-4911-3827,mii_name,Cγ,89,FALSE,6,6,3,3,8,2,5,6,3,3,8,1
Isaac,1895-7912-5145,mii_name,Cγ,3,FALSE,10,10,10,10,10,10,10,9,10,9,9,10
Korra,0950-8954-1218,mii_name,XIV,104,FALSE,5,2,5,2,5,7,8,4,1,2,3,2
MichaelH,0779-0970-1135,mii_name,XIV,97,FALSE,2,5,1,4,2,4,2,7,6,6,7,3
Spock,1079-7432-6162,mii_name,XIV,75,FALSE,4,7,8,6,7,6,3,8,7,1,1,5
Spike,2493-4452-2909,mii_name,XIV,65,FALSE,3,8,2,5,6,5,6,5,5,7,6,8
Deloicius,4988-1709-3963,mii_name,XIV,9,FALSE,9,9,9,9,9,9,9,10,9,10,10,9
,,,,,,,,,,,,,,,,,
OVERWRITE EVERY VALUE ABOVE,,,,,,,,,,,,,,,,,
title str = Division_WeekLetter,,i.e The match in the first row of week 1 for division 3 would be D3_1A,,,,,,,,,,,,,,,
table_penalty_str = Penalty -#,,i.e The value for a -5 pen on the team will be Penalty -5,,,,,,,,,,,,,,,
Player names are names on table,,,,,,,,,,,,,,,,,
"Feel free to leave mii names alone, it's just an argument that needs to be filled out",,,,,,,,,,,,,,,,,
Tags will always be the team name on table,,,,,,,,,,,,,,,,,
subbet_out is a boolean (True or False),,,,,,,,,,,,,,,,,
Track names are the Official Names,,"i.e MT is Wii Maple Treeway, rBC is N64 Bowser's Castle",,,,,,,,,,,,,,,
