Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
Lazarus,XI,10,7,0,3,3695,2702,993,75,,Matches,30
Superbia,Se,10,8,0,2,3832,3433,399,71,,Completed,30
Daisy Squad,D,10,6,0,4,3668,3618,50,55,,,
Infinite Fusion,IF,10,4,0,6,3402,2994,408,44,,Sum of Wins,30
perma jc,jc,10,3,0,7,3040,3378,-338,36,,Sum of Losses,30
Netherlands,NL,10,2,0,8,2026,3538,-1512,19,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/22,NL,9,D,1,48,,,,,,,
NL vs D (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
Leops,36,41,41,118,1,,,,,,,
ThomasNL,22,44,35,101,3,,,,,,,
Mario,31,25,25,81,6,,,,,,,
Leonardo,30,30,21,81,6,,,,,,,
Joris,3,3,3,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Netherlands,122,143,125,0,390,342,48,W,9,1,R,
(1-0),1,2,2,4,9,,,,,,,
(0-1),1,0,0,0,1,,,,,,,
Daisy Squad,122,101,119,0,342,390,-48,L,1,9,R,
JAVO,43,35,29,107,2,,,,,,,
Kevin,31,19,44,94,4,,,,,,,
EmilP,28,32,27,87,5,,,,,,,
Sammeh (8) / swig (4),19,14,18,51,8,,,,,,,
Fear,1,1,1,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/22,XI,10,IF,0,76,,,,,,,
XI vs IF (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Xander,29,53,35,117,1,,,,,,,
Fox,31,32,43,106,2,,,,,,,
Feysal,40,23,30,93,3,,,,,,,
barney,35,30,22,87,5,,,,,,,
Evan,0,0,1,1,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Lazarus,135,138,131,0,404,328,76,W,10,0,R,
(1-0),2,2,2,4,10,,,,,,,
(0-1),0,0,0,0,0,,,,,,,
Infinite Fusion,109,106,113,0,328,404,-76,L,0,10,R,
Snow,19,27,45,91,4,,,,,,,
vtr,41,16,21,78,6,,,,,,,
tay,26,31,17,74,7,,,,,,,
Berry,19,28,27,74,7,,,,,,,
UsosloW,4,4,3,11,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/22,jc,10,NL,0,100,,,,,,,
jc vs NL (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Thunda,53,31,25,109,1,,,,,,,
py,37,39,32,108,2,,,,,,,
mike,29,35,37,101,3,,,,,,,
cl,25,33,34,92,5,,,,,,,
Luxii,4,4,4,12,9,OP Scr,+/-,WTD,TpF,TpA,Event,
perma jc,148,142,132,0,422,322,100,W,10,0,R,
(1-0),2,2,2,4,10,,,,,,,
(1-1),0,0,0,0,0,,,,,,,
Netherlands,96,114,112,0,322,422,-100,L,0,10,R,
Thomas,32,43,26,101,3,,,,,,,
Leops,18,36,34,88,6,,,,,,,
Mae,27,13,32,72,7,,,,,,,
Leo (7) / Korra (5),19,22,20,61,8,,,,,,,
Joris,0,0,0,0,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/15/22,Se,8,D,2,10,,,,,,,
Se vs D (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Revan,37,32,34,103,1,,,,,,,
