Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
Berserk II,Be,10,7,0,3,3798,3408,390,68,,Matches,40
Band Together,bt,10,7,0,3,3679,3068,611,70,,Completed,40
Faithless,Fts,10,7,0,3,3709,3475,234,62,,,
Contingency Black,Cy,10,4,0,6,2757,3344,-587,39,,Sum of Wins,40
Rise,RISE,10,2,0,8,3408,3867,-459,25,,Sum of Losses,40
Ez,Ez,10,7,0,3,3685,3123,562,67,,,
Versatile,V$,10,4,0,6,3501,3674,-173,42,,,
Tunes Horizon,Hz,10,2,0,8,3270,3848,-578,27,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/14/2022,Hz,10,bt,0,40,,,,,,,
Hz v. bt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
KA,20,52,44,116,1,,,,,,,
conor,31,36,30,97,2,,,,,,,
Jonny,37,22,23,82,6,,,,,,,
Walter,28,28,25,81,7,,,,,,,
margio,3,0,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Tunes Horizon,119,138,124,0,381,341,40,W,10,0,R,
(1-0),2,2,2,4,10,,,,,,,
(0-1),0,0,0,0,0,,,,,,,
Band Together,125,106,120,-10,341,381,-40,L,0,10,R,
Shumu,31,39,25,95,3,,,,,,,
nago,39,24,30,93,4,,,,,,,
amane,32,19,32,83,5,,,,,,,
Miya,22,20,31,73,8,,,,,,,
kocchi,1,4,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,Be,10,RISE,0,134,,,,,,,
Be v. RISE (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
ru2,38,52,40,130,1,,,,,,,
Fiona,37,43,37,117,2,,,,,,,
TaTsuya,41,28,29,98,3,,,,,,,
Paprika,29,21,29,79,5,,,,,,,
Kanade,2,3,4,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk II,147,147,139,0,433,299,134,W,10,0,R,
(1-0),2,2,2,4,10,,,,,,,
(0-1),0,0,0,0,0,,,,,,,
Rise,97,97,105,0,299,433,-134,L,0,10,R,
zyr,19,26,38,83,4,,,,,,,
JUDGE,33,19,27,79,5,,,,,,,
Snowy,27,32,17,76,7,,,,,,,
Twingy,16,19,23,58,8,,,,,,,
bodge,2,1,0,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,Cy,8,Hz,2,58,,,,,,,
Cy v. Hz (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Setsumi,57,42,49,148,1,,,,,,,
Alpha,28,24,29,81,4,,,,,,,
Luke,22,33,21,76,5,,,,,,,
Wob,19,12,35,66,8,,,,,,,
Kaden,4,4,16,24,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Contingency Black,130,115,150,0,395,337,58,W,8,2,R,
(1-0),2,0,2,4,8,,,,,,,
(1-1),0,2,0,0,2,,,,,,,
Tunes Horizon,114,129,94,0,337,395,-58,L,2,8,R,
KA,51,36,15,102,2,,,,,,,
Jonny,26,33,30,89,3,,,,,,,
Walter,18,26,29,73,6,,,,,,,
Conor,19,34,18,71,7,,,,,,,
margio,0,0,2,2,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,Cy,7,Ez,3,46,,,,,,,
Cy v. Ez (7-3),GP1,GP2,GP3,Total,Place,,,,,,,
Setsumi,33,37,31,101,1,,,,,,,
Wob,41,26,33,100,3,,,,,,,
Alpha,39,33,23,95,4,,,,,,,
Luke,32,21,23,76,8,,,,,,,
Kaden,3,2,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Contingency Black,148,119,112,0,379,333,46,W,7,3,R,
(2-0),2,0,1,4,7,,,,,,,
(0-1),0,2,1,0,3,,,,,,,
Ez,96,125,112,-20,333,379,-46,L,3,7,R,
