P_ID,Tag,Registry Name,Tag + Name,FCs,,,
1,Ma*,Burke,Ma* Burke,2540-0402-9638,,,
2,Ma*,chi,Ma* chi,0736-1549-6285,,,
3,Ma*,cl,Ma* cl,2840-6935-1870,1208-6096-2779,,
4,Ma*,Delis,Ma* Delis,3313-1351-1531,,,
5,Ma*,Hibberd,Ma* Hibberd,3313-1391-3199,,,
6,Ma*,Luxii,Ma* Luxii,4386-8799-7590,,,
7,Ma*,Miffy,Ma* Miffy,4172-1200-2150,,,
8,Ma*,nact,Ma* nact,0907-9590-4616,,,
9,Ma*,py,Ma* py,0349-6004-4543,,,
10,Ma*,Zn,Ma* Zn,5288-8218-0000,4000-3340-0334,,
11,Ac,Alex,Ac Alex,4215-0764-6047,0048-9658-0588,,
12,Ac,Arvin,Ac Arvin,2625-9435-9931,0607-3123-6050,,
13,Ac,Edge,Ac Edge,0521-4031-8450,,,
14,Ac,Jzck,Ac Jzck,2580-2127-6977,,,
15,Ac,Kara,Ac Kara,3656-7267-2466,,,
16,Ac,Kasper,Ac Kasper,1208-5949-8691,,,
17,Ac,Sprixy,Ac Sprixy,2582-9942-6835,,,
18,Ac,Stubbz,Ac Stubbz,1766-9468-2470,0134-8552-1611,,
19,Ac,sully,Ac sully,4988-1714-4851,,,
20,Ac,Thunda,Ac Thunda,1294-5024-0059,,,
21,Ac,Zilla,Ac Zilla,2926-5841-3809,,,
22,λυ,Baked Bean,λυ Baked Bean,3742-6320-6232,,,
23,λυ,Elox,λυ Elox, 0175-1511-7680,,,
24,λυ,Fernandez,λυ Fernandez,3527-8879-0409,2840-6958-4621,,
25,λυ,FrankDaSpeed,λυ FrankDaSpeed,4730-4742-4883,2153-4995-0197,,
26,λυ,Freeze,λυ Freeze,0607-2990-4561,,,
27,λυ,Goomba,λυ Goomba,4086-2294-0214,,,
28,λυ,MatthewAUS,λυ MatthewAUS,1294-5034-2576,,,
29,λυ,PKBOY,λυ PKBOY,0392-5576-1734,,,
30,λυ,sasuke,λυ sasuke,3098-3834-8260,,,
31,λυ,Silverr,λυ Silverr,0435-5083-0524,,,
32,λυ,Star,λυ Star,3012-4804-5386​,,,
33,Λν,Aurora,Λν Aurora,5074-0644-0576,,,
34,Λν,b0rt,Λν b0rt,2024-6384-1288,,,
35,Λν,Ballin,Λν Ballin,5159-9617-0676,,,
36,Λν,JAM,Λν JAM,0607-3061-6828,,,
37,Λν,Joris,Λν Joris,2196-4364-5904,,,
38,Λν,Nash,Λν Nash,4471-1665-0900,,,
39,Λν,nikos,Λν nikos,1466-2898-9455,,,
40,Λν,Nozzles,Λν Nozzles,2024-6381-6667,,,
41,Λν,Olifré,Λν Olifré,2793-5064-0529,,,
42,Λν,paul,Λν paul,4000-3234-9902,,,
43,Λν,Rahul,Λν Rahul,3699-6746-4718,,,
44,Λν,Thomas,Λν Thomas,2454-1409-0265,,,
45,ban k ,9s,ban k  9s,4515-7327-6786,,,
46,ban k,Dams,ban k Dams,4429-8199-7799,,,
47,ban k,kali,ban k kali,0607-3053-0401,,,
48,ban k,Nicki,ban k Nicki,3356-0896-0124,,,
49,ban k,Sherm,ban k Sherm,0865-0088-0170,2454-1453-4550,,
50,ban k,sparkster,ban k sparkster,2540-0487-3969,,,
51,ban k,superz,ban k superz,2153-5008-8624,,,
52,ban k,ton,ban k ton,2625-9454-7205,,,
53,ban k,winter,ban k winter,0693-2120-8385,3441-9770-4735,,
54,ban k,WoLfPaCk,ban k WoLfPaCk,3356-0835-9762,,,
55,Berserk,FioNa,Berserk FioNa,2711-8399-6117,,,
56,Berserk,hiroto,Berserk hiroto,2711-8314-6940,,,
57,Berserk,Kapera,Berserk Kapera,2411-1984-0173,,,
58,Berserk,Marron,Berserk Marron,0993-8484-0880,4086-2223-2120,,
59,Berserk,Paprika,Berserk Paprika,2282-3487-3668,,,
60,Berserk,ru2,Berserk ru2,4730-4809-0926,,,
61,Berserk,sukay,Berserk sukay,3656-7296-1413,,,
62,Berserk,zR,Berserk zR,4558-6723-5641,,,
63,beγønd,akiza,beγønd akiza,5417-6635-5769,,,
64,beγønd,Dxrk,beγønd Dxrk,4000-3267-7898,,,
