Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
Brutality,By,10,9,0,1,3958,3200,758,80,,Matches,40
Ici Ca Bz,bz,10,6,0,4,3831,3382,449,65,,Completed,40
George Arvo Mark Toad,GAMT,10,6,0,4,3774,3340,434,64,,,
The Nice Guys,TNG,10,6,0,4,3407,2909,498,62,,Sum of Wins,40
Shadow Team,ST,10,7,0,3,3646,3180,466,61,,Sum of Losses,40
Contingency White,Cy,10,5,0,5,3489,3349,140,50,,,
Geek for Life,G4L,10,1,0,9,3036,3855,-819,16,,,
Quintessence,Qnt,10,0,0,10,1996,3922,-1926,2,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/13/2022,By,8,TNG,2,88,,,,,,,
By v. TNG (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Declan,37,30,43,110,1,,,,,,,
Nuke,57,19,31,107,2,,,,,,,
Spade,26,28,45,99,3,,,,,,,
jck,24,34,28,86,6,,,,,,,
Todd,3,3,2,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Brutality,147,114,149,0,410,322,88,W,8,2,R,
(1-0),2,0,2,4,8,,,,,,,
(0-1),0,2,0,0,2,,,,,,,
The Nice Guys,97,130,95,0,322,410,-88,L,2,8,R,
Rey,22,48,25,95,4,,,,,,,
chaos,29,32,31,92,5,,,,,,,
brisk,26,24,24,74,7,,,,,,,
Kaizo,19,25,13,57,8,,,,,,,
andreese,1,1,2,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,bz,8,Qnt,2,102,,,,,,,
bz v. Qnt,GP1,GP2,GP3,Total,Place,,,,,,,
demon,32,46,29,107,1,,,,,,,
Hakim,39,42,22,103,2,,,,,,,
Shark,24,29,33,86,3,,,,,,,
Gisko,29,23,32,84,4,,,,,,,
Lxddz,17,5,2,24,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Ici Ca Bz,141,145,118,0,404,302,102,W,8,2,R,
