Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
Gardie Lumb Wacker,glw,10,5,0,5,3144,2948,196,53,,Matches,30
Helicity,Hel,10,0,0,10,960,2188,-1228,4,,Completed,30
Jugar o Perder,JP,10,8,0,2,3604,3038,566,73,,,
L Fourteen,XIV,10,9,0,1,3716,2955,761,85,,Sum of Wins,30
Northwest,Nw,10,3,0,7,3241,3387,-146,38,,Sum of Losses,30
Southwest,Sw,10,5,0,5,2963,3112,-149,47,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,XIV,10,Nw,0,114,,,,,,,
XIV v. Nw (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Yoyoto,34,39,57,130,1,,,,,,,
Airko,43,42,28,113,2,,,,,,,
VLok,30,41,25,96,5,,,,,,,
saki,22,37,18,77,6,,,,,,,
Pat1,2,3,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
L Fourteen,131,162,130,0,423,309,114,W,10,0,R,
(1-0),2,2,2,4,10,,,,,,,
(0-1),0,0,0,0,0,,,,,,,
Northwest,113,82,114,0,309,423,-114,L,0,10,R,
Dxrk,35,27,45,107,3,,,,,,,
Jayme,32,31,42,105,4,,,,,,,
Madison,32,11,16,59,7,,,,,,,
Lorone(8)/Gamma(4),12,12,9,33,8,,,,,,,
ardux,2,1,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,JP,8,Sw,2,93,,,,,,,
JP v. Sw (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Rompe,47,40,49,136,,,,,,,,
Sota,29,22,42,93,,,,,,,,
Vilxs,36,21,33,90,,,,,,,,
Mythos,37,30,11,78,,,,,,,,
Rentorar,1,1,11,13,,OP Scr,+/-,WTD,TpF,TpA,Event,
Jugar o Perder,150,114,146,0,410,317,93,W,8,2,R,
(1-0),2,0,2,4,8,,,,,,,
(0-1),0,2,0,0,2,,,,,,,
Southwest,94,130,98,-5,317,410,-93,L,2,8,R,
Bally,30,60,16,106,,,,,,,,
Rob Fortune,22,28,23,73,,,,,,,,
Deli,16,26,24,66,,,,,,,,
Rollo007,19,13,29,61,,,,,,,,
TKS Memer,7,3,6,16,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,glw,8,Sw,2,36,,,,,,,
glw v. Sw (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Garde,46,50,21,117,1,,,,,,,
myles,33,25,44,102,2,,,,,,,
squirrel,39,24,26,89,4,,,,,,,
Sam G,23,17,31,71,8,,,,,,,
Fin,2,1,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Gardie Lumb Wacker,143,117,124,0,384,348,36,W,8,2,R,
(1-0),2,0,2,4,8,,,,,,,
(0-2),0,2,0,0,2,,,,,,,
Southwest,101,127,120,0,348,384,-36,L,2,8,R,
Rob Fortune,33,31,26,90,3,,,,,,,
Ragemodepigeon,34,25,28,87,5,,,,,,,
winter,14,41,31,86,6,,,,,,,
Rollo007,18,27,33,78,7,,,,,,,
Deli,2,3,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,JP,10,Nw,0,90,,,,,,,
JP v. Nw (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Mythos,39,27,52,118,1,,,,,,,
Sota,28,48,30,106,2,,,,,,,
Vilxs,47,22,29,98,4,,,,,,,
Jaden,33,27,22,82,6,,,,,,,
josemi,1,2,4,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Jugar o Perder,148,126,137,0,411,321,90,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(0-2),0,0,0,0,0,,,,,,,
Northwest,96,118,107,0,321,411,-90,L,0,10,R,
Dxrk,31,34,41,106,2,,,,,,,
Mooray,26,30,28,84,5,,,,,,,
Jayme,24,21,21,66,7,,,,,,,
Lvxclayy,12,31,17,60,8,,,,,,,
ardux,3,2,0,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,Nw,8,Hel,2,57,,,,,,,
Nw v. Hel (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Dxrk,46,35,45,126,1,,,,,,,
Jayme,30,32,37,99,2,,,,,,,
Madison,31,30,20,81,5,,,,,,,
Mooray(5)/Akira(7),12,34,25,71,8,,,,,,,
ardux,1,4,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Northwest,120,135,129,0,384,327,57,W,8,2,R,
(1-2),0,2,2,4,8,,,,,,,
(0-1),2,0,0,0,2,,,,,,,
Helicity,124,101,107,-5,327,384,-57,L,2,8,R,
Aleck,33,31,28,92,3,,,,,,,
Mushi,24,34,27,85,4,,,,,,,
Namihei,38,23,14,75,6,,,,,,,
Dubzville,26,13,36,75,6,,,,,,,
Arufa,3,0,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,Nw,8,glw,2,4,,,,,,,
Nw v. glw (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Awoo,50,38,19,107,2,,,,,,,
Dxrk,34,24,36,94,3,,,,,,,
Madison,29,35,28,92,5,,,,,,,
Akira,23,31,13,67,8,,,,,,,
ardux,2,2,4,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Northwest,138,130,100,0,368,364,4,W,8,2,R,
(2-2),2,2,0,4,8,,,,,,,
(1-1),0,0,2,0,2,,,,,,,
Gardie Lumb Wacker,106,114,144,0,364,368,-4,L,2,8,R,
squirrel,36,28,48,112,1,,,,,,,
myles,34,27,33,94,3,,,,,,,
Sam G,15,33,31,79,6,,,,,,,
Garde,19,24,32,75,7,,,,,,,
Fin,2,2,0,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,XIV,10,Sw,0,168,,,,,,,
XIV v. Sw (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Airko,47,32,43,122,1,,,,,,,
saki,34,38,39,111,2,,,,,,,
Yoyoto,39,26,36,101,3,,,,,,,
VLok,24,39,33,96,4,,,,,,,
Pat1,1,2,17,20,9,OP Scr,+/-,WTD,TpF,TpA,Event,
L Fourteen,145,137,168,0,450,282,168,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(0-3),0,0,0,0,0,,,,,,,
Southwest,99,107,76,0,282,450,-168,L,0,10,R,
TKS Memer,31,32,7,70,5,,,,,,,
winter,28,17,20,65,6,,,,,,,
koua,13,28,24,65,7,,,,,,,
Rob Fortune,24,19,19,62,8,,,,,,,
Deli,3,11,6,20,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,JP,8,glw,2,50,,,,,,,
JP v. glw (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Jaden,33,40,37,110,2,,,,,,,
Mythos,28,43,21,92,3,,,,,,,
Sota,38,23,29,90,4,,,,,,,
Rompe,38,24,26,88,5,,,,,,,
Rentorar,4,3,4,11,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Jugar o Perder,141,133,117,0,391,341,50,W,8,2,R,
(3-0),2,2,0,4,8,,,,,,,
(1-2),0,0,2,0,2,,,,,,,
Gardie Lumb Wacker,103,111,127,0,341,391,-50,L,2,8,R,
myles,45,45,35,125,1,,,,,,,
squirrel,26,25,32,83,6,,,,,,,
Sam G,16,26,36,78,7,,,,,,,
garde,16,14,23,53,8,,,,,,,
fin,0,1,1,2,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/2022,XIV,9,JP,1,98,,,,,,,
XIV v. JP (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
GalDen,48,29,44,121,1,,,,,,,
Airko,30,49,41,120,2,,,,,,,
Yoyoto,34,29,28,91,4,,,,,,,
laToiture,22,15,47,84,5,,,,,,,
Pat1,3,0,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
L Fourteen,137,122,161,-10,410,312,98,W,9,1,R,
(3-0),2,1,2,4,9,,,,,,,
(3-1),0,1,0,0,1,,,,,,,
Jugar o Perder,107,122,83,0,312,410,-98,L,1,9,R,
Jaden,40,44,22,106,3,,,,,,,
Sota,24,25,25,74,6,,,,,,,
Vilxs,23,34,11,68,7,,,,,,,
Aker,19,15,22,56,8,,,,,,,
Rentorar,1,4,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,XIV,8,Hel,2,40,,,,,,,
XIV v. Hel (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Airko,30,51,36,117,,,,,,,,
Yoyoto,39,28,38,105,,,,,,,,
laToiture,33,42,20,95,,,,,,,,
Jinays,18,18,18,54,,,,,,,,
Pat1,2,2,1,5,,OP Scr,+/-,WTD,TpF,TpA,Event,
L Fourteen,122,141,113,0,376,336,40,W,8,2,R,
(4-0),2,2,0,4,8,,,,,,,
(0-2),0,0,2,0,2,,,,,,,
Helicity,122,103,131,-20,336,376,-40,L,2,8,R,
Dubzville,37,28,45,110,,,,,,,,
Mushi,35,30,25,90,,,,,,,,
Vankle,12,31,35,78,,,,,,,,
KronosCAN,36,12,23,71,,,,,,,,
Vestoga,2,2,3,7,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/28/2022,JP,10,Sw,0,186,,,,,,,
JP v. Sw (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Rompe,34,57,30,121,1,,,,,,,
Sota,30,33,49,112,2,,,,,,,
Vilxs,45,23,32,100,3,,,,,,,
Mythos,34,37,29,100,3,,,,,,,
Rentorar,4,4,6,14,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Jugar o Perder,147,154,146,0,447,261,186,W,10,0,R,
(4-1),2,2,2,4,10,,,,,,,
(0-4),0,0,0,0,0,,,,,,,
Southwest,97,82,82,0,261,447,-186,L,0,10,R,
Bally,33,31,21,85,5,,,,,,,
Rob Fortune,35,19,11,65,6,,,,,,,
Deli,10,21,28,59,7,,,,,,,
Ragemodepigeon,16,8,16,40,8,,,,,,,
TKS Memer,3,3,6,12,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/29/2022,XIV,8,Nw,2,87,,,,,,,
XIV v. Nw (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
GalDen,31,30,52,113,1,,,,,,,
Yoyoto,32,43,33,108,2,,,,,,,
Airko,20,51,22,93,3,,,,,,,
VLok,28,29,34,91,4,,,,,,,
Pat1,2,3,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
L Fourteen,113,156,143,-5,407,320,87,W,8,2,R,
(5-0),0,2,2,4,8,,,,,,,
(2-3),2,0,0,0,2,,,,,,,
Northwest,131,88,101,0,320,407,-87,L,2,8,R,
Dxrk,36,20,28,84,5,,,,,,,
no show,36,27,20,83,6,,,,,,,
Awoo,24,24,29,77,7,,,,,,,
Jayme,33,16,22,71,8,,,,,,,
ardux,2,1,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/29/2022,JP,10,Hel,0,81,,,,,,,
JP v. Hel (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Vilxs,48,43,27,118,1,,,,,,,
Rompe,25,31,32,88,4,,,,,,,
Chateaux,21,23,25,69,6,,,,,,,
Rentorar,4,31,18,53,7,,,,,,,
Sota,42,3,5,50,8,OP Scr,+/-,WTD,TpF,TpA,Event,
Jugar o Perder,140,131,107,0,378,297,81,W,10,0,R,
(5-1),2,2,2,4,10,,,,,,,
(0-3),0,0,0,0,0,,,,,,,
Helicity,104,97,116,-20,297,378,-81,L,0,10,R,
Soon,30,30,30,90,2,,,,,,,
Dubzville,30,20,39,89,3,,,,,,,
Mushi,30,22,31,83,5,,,,,,,
JustAstro,14,18,14,46,9,,,,,,,
Vestoga,0,7,2,9,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,XIV,6,glw,4,4,,,,,,,
XIV v. glw (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Yoyoto,33,46,32,111,1,,,,,,,
Airko,42,30,37,109,2,,,,,,,
laToiture,18,19,49,86,5,,,,,,,
Fusveur,23,18,14,55,8,,,,,,,
Pat1,2,2,3,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
L Fourteen,118,115,135,0,368,364,4,W,6,4,R,
(6-0),0,0,2,4,6,,,,,,,
(1-3),2,2,0,0,4,,,,,,,
Gardie Lumb Wacker,126,129,109,0,364,368,-4,L,4,6,R,
EvanTX(8)/Myles(4),29,36,34,99,3,,,,,,,
Sam G,49,22,27,98,4,,,,,,,
Garde,29,32,22,83,6,,,,,,,
Dhruv,17,37,25,79,7,,,,,,,
Masako,2,2,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/4/2022,glw,9,Sw,1,14,,,,,,,
glw v. Sw (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
