D1_1A,,,,,,,,,,,,,,,,,
[L],Penalty -10,361,,,,,,,,,,,,,,,
KG,Penalty 0,361,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Wii Dry Dry Ruins,Wii Grumble Volcano,GCN Waluigi Stadium,Wii Wario's Gold Mine,N64 Bowser's Castle,Wii Moonview Highway,Wii Koopa Cape,DS Peach Gardens,N64 DK's Jungle Parkway,Wii Maple Treeway,Wii Bowser's Castle,Wii Toad's Factory
Taka,2926-5805-9814,[L] taka,[L],109,FALSE,1,3,2,6,3,3,4,1,5,4,7,4
Zestos,2967-9324-5621,[L] Zestos,[L],87,FALSE,5,7,1,3,5,7,3,2,2,8,8,5
Macy,3871-4832-5850,"[L],macy",[L],86,FALSE,2,6,6,5,4,5,1,8,4,5,2,7
Matt,2368-2366-9567,[L] matt,[L],83,FALSE,8,2,8,2,6,2,5,7,6,3,5,3
Evan,0478-4492-0399,[L] Evan◇»,[L],6,FALSE,10,10,10,9,9,10,9,10,10,9,9,9
Jaker,1638-0965-7457,KG jake,KG,122,FALSE,4,1,4,4,1,1,6,4,8,2,1,2
Batcake,3227-2293-6659,KG Batcake,KG,85,FALSE,7,4,5,1,8,8,7,3,1,1,6,8
Mike,3055-4419-7075,KG mike,KG,82,FALSE,3,8,3,8,2,6,2,6,3,7,4,6
Javo,5070-7413-8901,-[KG]★JÀVÕ,KG,66,FALSE,6,5,7,7,7,4,8,5,7,6,3,1
Arii,4859-3147-1751,KG Arii,KG,6,FALSE,9,9,9,10,10,9,10,9,9,10,10,10
