D1_1C,,,,,,,,,,,,,,,,,
IF,Penalty 0,388,,,,,,,,,,,,,,,
Se,Penalty 0,344,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Wii Dry Dry Ruins,DS Peach Gardens,Wii Wario's Gold Mine,Wii Koope Cape,N64 Sherbet Land,Wii Maple Treeway,Wii Toad's Factory,DS Delfino Square,Wii DK Summit,Wii Bowser's Castle,Wii Grumble Volcano,Wii Coconut Mall
Berry,2497-0941-5511,IF Berry,IF,120,FALSE,1,1,7,3,7,2,4,2,7,1,2,2
kenzo,4386-8819-7007,IF kenzo,IF,95,FALSE,5,6,1,8,2,6,6,4,4,2,3,3
Snow,2067-5865-5496,IF Snow,IF,84,FALSE,2,8,2,4,8,4,5,7,1,5,4,8
Victor,1895-7902-9550,IF Victor,IF,82,FALSE,3,4,8,5,6,1,8,8,2,6,8,1
Dermo,0006-0025-9138,IF Dermo,IF,7,FALSE,9,9,9,9,10,9,10,10,10,10,9,9
Edison,3399-0394-0724,Se Edison,Se,90,FALSE,8,5,5,1,1,3,7,3,8,7,1,7
swig,4859-3226-7102,Se swig,Se,88,FALSE,4,2,6,7,4,5,1,1,6,8,7,4
Shawn,2796-1052-3532,Se Shawn,Se,83,FALSE,6,7,3,2,5,8,3,5,3,3,5,6
Revise,3697-4327-1061,Se Revise,Se,76,FALSE,7,3,4,6,3,7,2,6,5,4,6,5
Maq,2666-8059-6789,Se Maq,Se,5,FALSE,10,10,10,10,9,10,9,9,9,9,10,10
,,,,,,,,,,,,,,,,,
OVERWRITE EVERY VALUE ABOVE,,,,,,,,,,,,,,,,,
title str = Division_WeekLetter,,i.e The match in the first row of week 1 for division 3 would be D3_1A,,,,,,,,,,,,,,,
table_penalty_str = Penalty -#,,i.e The value for a -5 pen on the team will be Penalty -5,,,,,,,,,,,,,,,
Player names are names on table,,,,,,,,,,,,,,,,,
"Feel free to leave mii names alone, it's just an argument that needs to be filled out",,,,,,,,,,,,,,,,,
Tags will always be the team name on table,,,,,,,,,,,,,,,,,
subbet_out is a boolean (True or False),,,,,,,,,,,,,,,,,
Track names are the Official Names,,"i.e MT is Wii Maple Treeway, rBC is N64 Bowser's Castle",,,,,,,,,,,,,,,
