D1_2C,,,,,,,,,,,,,,,,,
Se,Penalty 0,389,,,,,,,,,,,,,,,
£★,Penalty 0,343,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Wii Warios Gold Mine,Wii Koopa Cape,Wii DK Summit,Wii Bowser's Castle,Wii Dry Dry Ruins,Wii Maple Treeway,Wii Moonview Highway,GCN Waluigi's Stadium,N64 Bowser's Castle,Wii Coconut Mall,DS Peach Gardens,Wii Toad's Factory
Revan,3828-5212-5823,Se Revan,Se,116,FALSE,1,7,4,1,6,4,3,2,4,3,4,1
Revise,3697-4327-1061,Se Revιse,Se,102,FALSE,2,2,1,5,4,2,4,5,8,7,1,7
Shawn,2796-1052-3532,Se Shawn,Se,92,FALSE,4,3,5,2,1,6,2,6,7,5,5,5
Edison,3399-0394-0724,Se Edison,Se,71,FALSE,7,8,3,3,3,8,8,3,1,6,8,8
Maq,2666-8059-6789,Se Maq,Se,8,FALSE,9,9,10,9,9,9,9,10,10,9,9,10
Kevin,4000-3330-3338,£★ Kevin,£★,111,FALSE,5,4,6,7,2,1,1,4,5,2,3,2
Jeff,0774-4622-5300,£★ Jεff,£★,93,FALSE,6,5,7,6,7,5,7,1,2,1,2,3
crash,1079-7437-2221,£★ ¢rash,£★,63,FALSE,7,1,8,4,8,3,5,7,6,8,6,6
mura,1294-4924-7889,£★ mura,£★,44,TRUE,-1,-1,-1,-1,5,7,6,8,3,4,7,4
JorGambler,3399-0339-3300,£★ Kasper,£★,28,FALSE,3,6,2,8,-1,-1,-1,-1,-1,-1,-1,-1
Roast,0607-3038-2380,£★ Roast,£★,4,FALSE,10,10,9,10,10,10,10,9,9,10,10,9
,,,,,,,,,,,,,,,,,
https://www.twitch.tv/videos/1729255512,,,,,,,,,,,,,,,,,
