D2_2C,,,,,,,,,,,,,,,,,
Ma*,Penalty 0,368,,,,,,,,,,,,,,,
HEX:,Penalty -20,344,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Wii Dry Dry Ruins,Wii Maple Treeway,N64 Bowser's Castle,Wii Toad's Factory,N64 Sherbet Land,Wii Bowser's Castle,GBA Bowser Castle 3,Wii Koopa Cape,Wii DK Summit,DS Peach Gardens,GCN Waluigi Stadium,GCN DK Mountain
Zn,4000-3340-0334,mii_name,Ma*,96,subbed_out,5,1,8,5,2,5,5,2,8,1,5,4
Sharptoothedrat,1208-6096-2779,mii_name,Ma*,94,subbed_out,2,5,6,1,4,3,3,7,4,6,2,8
chi,0736-1549-6285,mii_name,Ma*,88,subbed_out,8,4,5,6,1,7,2,1,7,7,8,1
12SUP3RHUM4NHD56,0349-6004-4543,mii_name,Ma*,81,subbed_out,7,8,2,2,6,4,8,4,2,3,6,6
Burke,2540-0402-9638,mii_name,Ma*,9,subbed_out,9,9,9,9,9,10,10,9,9,10,9,9
Kazam,2969-5426-8301,mii_name,HEX:,107,subbed_out,1,3,3,8,5,1,1,5,5,8,3,3
Night,1251-5424-6485,mii_name,HEX:,90,subbed_out,6,2,4,7,3,8,7,3,3,4,4,2
Toto,4945-2252-4971,mii_name,HEX:,89,subbed_out,3,7,1,4,8,2,6,8,1,2,7,7
Zoan,1852-8478-9344,mii_name,HEX:,75,subbed_out,4,6,7,3,7,6,4,6,6,5,1,5
Lxddz,4555-1227-1749,mii_name,HEX:,3,subbed_out,10,10,10,10,10,9,9,10,10,9,10,10
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OVERWRITE EVERY VALUE ABOVE,,,,,,,,,,,,,,,,,
Team 1/2,Use team name on table bot (technically the tag),,,,,,,,,,,,,,,,
title str = Division_WeekLetter,,i.e The match in the first row of week 1 for division 3 would be D3_1A,,,,,,,,,,,,,,,
table_penalty_str = Penalty -#,,i.e The value for a -5 pen on the team will be Penalty -5,,,,,,,,,,,,,,,
Player names are names on table,,,,,,,,,,,,,,,,,
"Feel free to leave mii names alone, it's just an argument that needs to be filled out",,,,,,,,,,,,,,,,,
Tags will always be the team name on table,,,,,,,,,,,,,,,,,
subbet_out is a boolean (True or False),,,,,,,,,,,,,,,,,
Track names are the Official Names,,"i.e MT is Wii Maple Treeway, rBC is N64 Bowser's Castle",,,,,,,,,,,,,,,
