D6_2A,,,,,,,,,,,,,,,,,
HK,Penalty -5,367,,,,,,,,,,,,,,,
λυ,Penalty 0,360,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Wii Dry Dry Ruins,N64 Bowser's Castle,Wii DK Summit,DS Peach Gardens,DS Delfino Square,SNES Mario Circuit 3,Wii Moonview Highway,Wii Wario's Gold Mine,Wii Maple Treeway,GBA Bowser Castle 3,Wii Grumble Volcano,GCN Waluigi Stadium
Rhino,3484-9354-4228,[HK] Rhino,HK,113,FALSE,2,4,2,5,6,2,3,2,5,5,1,3
Pharis,1036-8105-3898,HK Pharis,HK,100,FALSE,3,6,1,7,1,8,4,7,4,2,2,4
Snoopy,2067-5996-4560,HK Snoopy,HK,83,FALSE,8,8,4,1,4,1,5,6,3,7,6,5
Fordj,2540-0334-4034,HK Ford,HK,69,FALSE,5,1,6,4,2,7,6,8,6,8,5,7
Aidlo,3957-3731-6362,HK Aidlo,HK,7,FALSE,10,10,10,9,9,9,9,9,10,10,9,9
Silver,0435-5083-0524,λυ Silver,λυ,98,FALSE,4,2,5,2,8,4,7,3,1,4,3,6
Fernandez,2840-6958-4621,λυ Fernndz,λυ,98,FALSE,7,5,3,3,7,6,1,1,2,1,7,8
FrankDaSpeed,4730-4742-4883,λυ Frank,λυ,91,FALSE,1,7,7,8,3,3,2,5,7,3,8,1
sasuke,3098-3834-8260,λυ sasuke,λυ,68,FALSE,6,3,8,6,5,5,8,4,8,6,4,2
Star,0607-3145-0996,λυ Star,λυ,5,FALSE,9,9,9,10,10,10,10,10,9,9,10,10
,,,,,,,,,,,,,,,,,
OVERWRITE EVERY VALUE ABOVE,,,,,,,,,,,,,,,,,
title str = Division_WeekLetter,,i.e The match in the first row of week 1 for division 3 would be D3_1A,,,,,,,,,,,,,,,
table_penalty_str = Penalty -#,,i.e The value for a -5 pen on the team will be Penalty -5,,,,,,,,,,,,,,,
Player names are names on table,,,,,,,,,,,,,,,,,
"Feel free to leave mii names alone, it's just an argument that needs to be filled out",,,,,,,,,,,,,,,,,
Tags will always be the team name on table,,,,,,,,,,,,,,,,,
subbet_out is a boolean (True or False),,,,,,,,,,,,,,,,,
Track names are the Official Names,,"i.e MT is Wii Maple Treeway, rBC is N64 Bowser's Castle",,,,,,,,,,,,,,,
