D6_2C,,,,,,,,,,,,,,,,,
RISE,Penalty 0,344,,,,,,,,,,,,,,,
@NN,Penalty -20,368,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Wii Maple Treeway,DS Peach Gardens,N64 Sherbet Land,GCN Waluigi Stadium,N64 Bowser's Castle,Wii Moonview Highway,Wii Koopa Cape,Wii Toad's Factory,GBA Bowser Castle 3,Wii Bowser's Castle,DS Delfino Square,Wii Coconut Mall
AceBeaton,1509-2398-3863,RISE Ace,RISE,113,FALSE,1,5,8,1,4,1,2,3,8,7,3,1
2D,4902-2779-3074,RISE 2D,RISE,88,FALSE,3,3,1,3,8,6,8,2,5,8,2,7
zyr,1122-7058-1860,RISE zyr,RISE,81,FALSE,8,4,6,7,3,5,3,5,2,3,8,4
Lambo,1337-4557-3470,RISE Lambo,RISE,80,FALSE,2,1,7,6,5,4,7,6,1,6,6,8
rosenn,1595-1570-3955,RISE rosenn,RISE,4,TRUE,9,9,9,10,10,10,9,10,10,10,-1,-1
Davidd,3313-1275-7591,RISE David,RISE,2,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9
Broken,2797-7479-2727,Brokzn@NN,@NN,115,FALSE,7,2,3,4,1,2,4,1,4,5,5,2
VicZ,3227-2295-1995,Vic.Z'@NN,@NN,93,FALSE,6,7,4,2,2,8,1,8,6,2,1,6
Azs,4215-0802-3263,Azs@NN,@NN,83,FALSE,4,6,2,5,6,7,6,7,3,1,4,5
TF4life,0993-8585-2068,TF4Life@NN,@NN,67,FALSE,5,8,5,8,7,3,5,4,7,4,7,3
Charmender,5288-8210-4056,charm@NN,@NN,6,FALSE,10,10,10,9,9,9,10,9,9,9,10,10
,,,,,,,,,,,,,,,,,
OVERWRITE EVERY VALUE ABOVE,,,,,,,,,,,,,,,,,
title str = Division_WeekLetter,,i.e The match in the first row of week 1 for division 3 would be D3_1A,,,,,,,,,,,,,,,
table_penalty_str = Penalty -#,,i.e The value for a -5 pen on the team will be Penalty -5,,,,,,,,,,,,,,,
Player names are names on table,,,,,,,,,,,,,,,,,
"Feel free to leave mii names alone, it's just an argument that needs to be filled out",,,,,,,,,,,,,,,,,
Tags will always be the team name on table,,,,,,,,,,,,,,,,,
subbet_out is a boolean (True or False),,,,,,,,,,,,,,,,,
Track names are the Official Names,,"i.e MT is Wii Maple Treeway, rBC is N64 Bowser's Castle",,,,,,,,,,,,,,,
