D7_1C,,,,,,,,,,,,,,,,,
XIV,Penalty 0,421,,,,,,,,,,,,,,,
BOT,Penalty 0,311,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,GBA Bowser Castle 3,Wii Maple Treeway,Wii Toad's Factory,GCN Waluigi Stadium,Wii Coconut Mall,Wii DK Summit,Wii Dry Dry Ruins,N64 Bowser's Castle,GCN DK Mountain,Wii Bowser's Castle,Wii Moonview Highway,DS Peach Gardens
Korra,0950-8954-1218,mii_name,XIV,154,FALSE,1,3,2,3,4,1,1,2,1,2,1,1
GabrielUS,4902-2785-9079,mii_name,XIV,106,FALSE,5,5,8,1,1,5,4,1,2,4,3,7
Spike,2493-4452-2909,mii_name,XIV,85,FALSE,3,1,3,2,7,8,8,4,4,6,7,4
Evasive,0177-8088-3597,mii_name,XIV,65,FALSE,6,4,7,5,6,7,7,7,8,1,8,2
Deli,4988-1709-0492,mii_name,XIV,11,FALSE,10,9,9,9,9,9,9,9,9,9,9,9
David,2411-1975-4456,mii_name,BOT,89,FALSE,2,7,5,4,3,2,2,5,7,7,6,3
Andremar,0993-8460-9129,mii_name,BOT,83,FALSE,4,2,6,7,2,4,3,8,5,5,5,5
Handsome,0865-0080-9640,mii_name,BOT,66,FALSE,8,8,4,8,5,3,5,6,6,3,4,6
Blanco,3441-9848-0492,mii_name,BOT,45,FALSE,9,10,10,10,10,6,6,3,3,8,2,8
Roronoa Zoro,0564-3643-2812,mii_name,BOT,28,FALSE,7,6,1,6,8,10,10,10,10,10,10,10
,,,,,,,,,,,,,,,,,
OVERWRITE EVERY VALUE ABOVE,,,,,,,,,,,,,,,,,
title str = Division_WeekLetter,,i.e The match in the first row of week 1 for division 3 would be D3_1A,,,,,,,,,,,,,,,
table_penalty_str = Penalty -#,,i.e The value for a -5 pen on the team will be Penalty -5,,,,,,,,,,,,,,,
Player names are names on table,,,,,,,,,,,,,,,,,
"Feel free to leave mii names alone, it's just an argument that needs to be filled out",,,,,,,,,,,,,,,,,
Tags will always be the team name on table,,,,,,,,,,,,,,,,,
subbet_out is a boolean (True or False),,,,,,,,,,,,,,,,,
Track names are the Official Names,,"i.e MT is Wii Maple Treeway, rBC is N64 Bowser's Castle",,,,,,,,,,,,,,,
